Analytic,Category,Platform,Tactic,Technique,Technique Name,Detection Strategy,Strategy Name,Classifier Signal,Log Sources,Description,"Status ( Done, Under-Progress, Not-Yet Done)",OCSF Mapping Possible (Yes/No),updated or not 
AN0051,Endpoint-offline,Windows,"persistence, privilege-escalation",T1546.011,Application Shimming,DET0017,Detection Strategy for Application Shimming via sdbinst.exe and Registry Artifacts (Windows),host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,Correlated modification of AppCompat registry keys and execution of sdbinst.exe to install custom shim databases. Followed by DLL injection via shim behavior into target application processes.,Done,Yes,done
AN0074,Endpoint-offline,Windows,"persistence, privilege-escalation",T1547.012,Print Processors,DET0026,Windows Detection Strategy for T1547.012 - Print Processor DLL Persistence,host-local feeds only,WinEventLog:Sysmon,"Correlated registry modifications under Print Processors path, followed by DLL file creation within the system print processor directory, and DLL load by spoolsv.exe. Malicious execution often occurs during service restart or system boot, with SYSTEM-level privileges.",Done,No(but can be convertable to yes),done
AN0045,Endpoint-offline,Windows,persistence,T1668,Exclusive Control,DET0015,Detection Strategy for Exclusive Control,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Detects unusual command executions and service modifications that indicate self-patching or disabling of vulnerable services post-compromise. Defenders should monitor for service stop commands, suspicious process termination, and execution of binaries or scripts aligned with known patching or service management tools outside of expected admin contexts.",Done,Yes,done
AN0113,Endpoint-offline,Windows,stealth,T1070.009,Clear Persistence,DET0040,Detection of Persistence Artifact Removal Across Host Platforms,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon; WinEventLog:TaskScheduler,"Detects adversary activity that removes persistence artifacts such as services, registry keys, scheduled tasks, user accounts, and binaries through commands like `sc delete`, `schtasks /delete`, or `reg delete`.",Done,Yes,done
AN0118,Endpoint-offline,Windows,stealth,T1218.012,Verclsid,DET0042,Detection Strategy for T1218.012 Verclsid Abuse,host-local feeds only,WinEventLog:Sysmon,"Detects abuse of verclsid.exe to execute COM objects by monitoring process creation, CLSID arguments, DLLs or scriptlet engines loaded into memory, and If the CLSID points to remote SCT/HTA content, verclsid.exe makes outbound connections.",Done,Yes,done
AN0071,Endpoint-offline,Windows,stealth,T1218.015,Electron Applications,DET0025,Detecting Electron Application Abuse for Proxy Execution,host-local feeds only,WinEventLog:Sysmon,"Abuse of trusted Electron apps (Teams, Slack, Chrome) to spawn child processes or execute payloads via malicious command-line arguments (e.g., --gpu-launcher) and modified app resources (.asar). Behavior chain: suspicious parent process (Electron app) -> unusual command-line args -> child process creation -> optional DLL/network artifacts.",Done,Yes,done
AN0091,Endpoint-offline,Windows,stealth,T1564.001,Hidden Files and Directories,DET0032,Detection Strategy for Hidden Files and Directories,host-local feeds only,WinEventLog:Sysmon,Suspicious use of attrib.exe or PowerShell commands to set hidden attributes on files/directories. Defender view: processes modifying file attributes to 'hidden' or creating files with ADS (alternate data streams).,Done,Yes,done
AN0182,Endpoint-offline,Windows,stealth,T1564.011,Ignore Process Interrupts,DET0067,Detection Strategy for Ignore Process Interrupts,host-local feeds only,WinEventLog:PowerShell; WinEventLog:Sysmon,"PowerShell or script execution with parameters that suppress errors or ignore user interrupts, such as `-ErrorAction SilentlyContinue`. Defender perspective: detecting discrepancies between suppressed error arguments and continued execution behavior.",Done,Yes,done
AN0139,Endpoint-offline,Windows,stealth,T1564.012,File/Path Exclusions,DET0051,Detection Strategy for File/Path Exclusions,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Creation or modification of files in directories known to be excluded from AV scanning (e.g., C:\Windows\Temp, Exchange server directories, or default AV exclusions). Defender perspective: correlate file creation with execution behavior or anomalous parent processes writing to excluded paths.",Done,No(but can be convertable to yes),done
AN0040,Endpoint-offline,Windows,collection,T1074,Data Staged,DET0014,Detection of Data Staging Prior to Exfiltration,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Detects staging of sensitive files into temporary or public directories, compression with 7zip/WinRAR, or batch copy prior to exfiltration.",Done,Yes,done
AN0724,Endpoint-offline,Windows,collection,T1074.001,Local Data Staging,DET0261,Detection of Local Data Staging Prior to Exfiltration,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Detects file reads across locations followed by writes to temp or staging directories, often compressed or encrypted, indicating local staging behavior.",Done,No(but can be convertable to yes),done
AN0130,Endpoint-offline,Windows,collection,T1114.001,Local Email Collection,DET0047,Detect Local Email Collection via Outlook Data File Access and Command Line Tooling,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Detection focuses on processes that attempt to locate, access, or exfiltrate local Outlook data files (.pst/.ost) using file system access, native Windows utilities (e.g., PowerShell, WMI), or remote access tools with file browsing capabilities. The behavior chain includes directory enumeration, file access, optional compression or staging, and network transfer.",Done,No(but can be convertable to yes),done
AN0531,Endpoint-offline,Windows,collection,T1119,Automated Collection,DET0186,Automated File and API Collection Detection Across Platforms,host-local feeds only,WinEventLog:Sysmon,"Automated execution of native utilities and scripts to discover, enumerate, and exfiltrate files and clipboard content. Focus is on detecting repeated file access, scripting engine use, and use of command-line utilities commonly leveraged by collection scripts.",Done,Yes,done
AN0677,Endpoint-offline,Windows,collection,T1213.006,Databases,DET0242,Suspicious Database Access and Dump Activity Across Environments (T1213.006),host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Database client execution (e.g., sqlcmd.exe, isql.exe) by users or from locations not tied to enterprise automation or backups. Often followed by creation of .sql/.bak/.csv files, registry artifacts for ODBC/JDBC drivers, or encrypted ZIPs. Defender sees SQL tools launched by explorer.exe, Powershell, or odd parent processes, plus file writes in user temp locations.",Done,Yes,done
AN0271,Endpoint-offline,Windows,discovery,T1010,Application Window Discovery,DET0097,Detection of Application Window Enumeration via API or Scripting,host-local feeds only,WinEventLog:PowerShell; WinEventLog:Sysmon,"Processes using Win32 API calls (e.g., EnumWindows, GetForegroundWindow) or scripting tools (e.g., PowerShell, VBScript) to enumerate open windows. These often appear with reconnaissance or data collection TTPs.",Done,Yes,done
AN0254,Endpoint-offline,Windows,discovery,T1033,System Owner/User Discovery,DET0093,Behavioral Detection of User Discovery via Local and Remote Enumeration,host-local feeds only,WinEventLog:PowerShell; WinEventLog:Sysmon,"Adversary launches built-in system tools (e.g., whoami, query user, net user) or scripts that enumerate user account information via local execution or remote API queries (e.g., WMI, PowerShell).",Done,Yes,done
AN0095,Endpoint-offline,Windows,discovery,T1057,Process Discovery,DET0034,Detection of Adversarial Process Discovery Behavior,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Identifies adversary behavior that launches commands or invokes APIs to enumerate active processes (e.g., tasklist.exe, Get-Process, or CreateToolhelp32Snapshot). Detects execution combined with parent process lineage, network session context, or remote origin.",Done,Yes,done
AN0455,Endpoint-offline,Windows,discovery,T1201,Password Policy Discovery,DET0161,Password Policy Discovery � cross-platform behavior-chain analytics,host-local feeds only,WinEventLog:PowerShell; WinEventLog:Security; WinEventLog:Sysmon,"Cause->effect chain: (1) a user or service spawns a shell/PowerShell that queries local/domain password policy via commands/cmdlets (e.g., `net accounts`, `Get-ADDefaultDomainPasswordPolicy`, `secedit /export`); (2) optional directory/LDAP reads from DCs; (3) same principal performs adjacent Discovery or credential-related actions within a short window. Correlate sysmon process creation with PowerShell ScriptBlock and Security logs.",Done,Yes,done
AN0037,Endpoint-offline,Windows,discovery,T1217,Browser Information Discovery,DET0013,Detection of Local Browser Artifact Access for Reconnaissance,host-local feeds only,WinEventLog:PowerShell; WinEventLog:Sysmon,"Access to browser artifact locations (e.g., Chrome, Edge, Firefox) by processes like PowerShell, cmd.exe, or unknown tools, followed by file reads, decoding, or export operations indicating enumeration of bookmarks, autofill, or history databases.",Done,Yes,done
AN0016,Endpoint-offline,Windows,discovery,T1482,Domain Trust Discovery,DET0007,"Detection of Domain Trust Discovery via API, Script, and CLI Enumeration",host-local feeds only,WinEventLog:PowerShell; WinEventLog:Security; WinEventLog:Sysmon,"Adversary uses nltest, PowerShell, or Win32/.NET API to enumerate domain trust relationships (via DSEnumerateDomainTrusts, GetAllTrustRelationships, or LDAP queries), followed by discovery or authentication staging.",Done,Yes,done
AN0048,Endpoint-offline,Windows,discovery,T1518.001,Security Software Discovery,DET0016,Security Software Discovery Across Platforms,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Adversary executes commands to enumerate installed antivirus, EDR, or firewall agents using WMI, registry queries, and built-in tools (e.g., tasklist, netsh, sc query). Correlated with elevated process privileges or scripting engine usage.",Done,Yes,done
AN0240,Endpoint-offline,Windows,discovery,T1518.002,Backup Software Discovery,DET0088,"Backup Software Discovery via CLI, Registry, and Process Inspection (T1518.002)",host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Defender observes execution of commands like `tasklist`, `sc query`, `reg query`, or PowerShell WMI/Registry queries targeting known backup products (e.g., Veeam, Acronis, CrashPlan). Behavior often includes parent-child lineage involving PowerShell or cmd.exe with discovery syntax, and enumeration of services, directories, or registry paths tied to backup software.",Done,Yes,done
AN1543,Endpoint-offline,Windows,"initial-access, persistence, privilege-escalation, stealth",T1078,Valid Accounts,DET0560,Detection of Valid Account Abuse Across Platforms,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Detection of compromised or misused valid accounts via anomalous logon patterns, abnormal logon types, and inconsistent geographic or time-based activity across Windows endpoints.",Done,Yes,done
AN1283,Endpoint-offline,Windows,"initial-access, persistence, privilege-escalation, stealth",T1078.001,Default Accounts,DET0465,Detection of Default Account Abuse Across Platforms,host-local feeds only,WinEventLog:Security,Detection of default account usage such as Guest or Administrator performing interactive or remote logons on systems outside of installation or maintenance windows.,Done,Yes,done
AN0590,Endpoint-offline,Windows,"initial-access, persistence, privilege-escalation, stealth",T1078.002,Domain Accounts,DET0210,Abuse of Domain Accounts,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Detection of suspicious logon behavior using valid domain accounts across multiple hosts, off-hours, or simultaneous sessions from geographically distant locations.",Done,Yes,done
AN1137,Endpoint-offline,Windows,"initial-access, persistence, privilege-escalation, stealth",T1078.003,Local Accounts,DET0407,Detection of Local Account Abuse for Initial Access and Persistence,host-local feeds only,WinEventLog:Security,"Detects anomalous usage of local accounts to log into a system, especially accounts not typically used interactively or outside business hours.",Done,Yes,done
AN0320,Endpoint-offline,Windows,initial-access,T1566.003,Spearphishing via Service,DET0115,Detection Strategy for Spearphishing via a Service across OS Platforms,host-local feeds only,WinEventLog:Security; WinEventLog:Sysmon,"Inbound spearphishing attempts delivered via third-party services (e.g., Gmail, LinkedIn messages) leading to malicious file downloads or browser-initiated script execution. Defender view includes correlation of external service logins, unexpected file write operations, and suspicious descendant processes spawned from productivity or browser applications.",Done,Yes,done
