Level of Importance,Name / Category,Targeting / Description,Parent Domain,Coverage Status,Coverage Details,MITRE Technique,Can we build it?,Extra Tooling / Log Source Needed,Gap Type,Need New Tool? (Y/N),Needs Log/API Config? (Y/N)
Gov-critical,Insider threat detection,"User behaviour analytics (UEBA), mass download/deletion alerts, after-hours access anomalies, resignation-pattern triggers","Data protection & DLP: Classification, leakage prevention, encryption",Partial,"Detecting basic insider sabotage (like using command-line tools for mass file deletion or clearing event logs) is fully covered by our correlation rules (e.g., AN0411-T1485-DET0146). However, we have a significant capability gap regarding stateful User Behavior Analytics (UEBA). Sigma correlation rules are stateless queries; they cannot dynamically baseline a user's normal working hours to trigger 'after-hours anomalies' or 'resignation patterns'. Additionally, detecting mass cloud downloads is a log gap that requires Office 365 Audit logs.","T1030 (Data Transfer Size Limits), T1048",No. Sigma evaluates single events statelessly; it cannot do UEBA.,UEBA Platform,Tooling / Capability Gap,Y,N
Emerging Ai,Predictive machine learning engine,"Cloud + on-sensor ML models for zero-day prediction, model versioned and silently updated, attack chain scoring","AI security & threat intelligence: Generative AI risk, predictive detection, nation-state intel",Out of Scope,"Running predictive Machine Learning (ML) models on the endpoint to score attack chains and predict zero-days is completely out of scope. Sigma rules are deterministic, logic-based queries (signatures and heuristics). They cannot train or execute AI/ML models on a host. This capability physically requires a Next-Gen Antivirus (NGAV) or an EDR agent with built-in ML sensors.",,No. Predictive ML is an EDR feature.,ML-Driven SIEM Module / EDR,Tooling / Capability Gap,Y,N
Core,AI bot & GenAI application control,"CASB-enforced block/allow/audit of ChatGPT, Copilot, Gemini usage; prompt injection detection; data submitted to LLMs DLP","AI security & threat intelligence: Generative AI risk, predictive detection, nation-state intel",Out of Scope,"Actively blocking AI bots, inspecting data submitted to LLMs (like ChatGPT or Copilot) for DLP, and detecting prompt injections in real-time are completely out of scope. A SIEM cannot intercept web sessions to read or block chat prompts. This capability physically requires a Cloud Access Security Broker (CASB) or a dedicated GenAI Security Gateway. While we could theoretically audit AI website visits, this remains a log gap because we lack Proxy/SWG traffic logs. Once detection is closed (via missing log), response is separately solvable via SOAR playbook + SWG, once integrated.",,No. Requires a CASB or Secure Web Gateway.,CASB / SWG,Missing Logs,N,Y
Emerging,Threat intelligence platform (TIP) integration,"STIX/TAXII feeds, ISACs, dark web monitoring, nation-state campaign tracking, automatic IOC operationalisation","AI security & threat intelligence: Generative AI risk, predictive detection, nation-state intel",Out of Scope,Monitoring the dark web for exposed credentials and automatically operationalising STIX/TAXII IOCs into blocking rules are completely out of scope. A SIEM is an analytics engine; it does not natively scrape the dark web or automatically orchestrate intelligence feeds for active blocking. This capability physically requires a Threat Intelligence Platform (TIP) (like ThreatConnect or MISP) integrated with a SOAR.,,No. Requires a TIP or SOAR.,Threat Intelligence Platform (TIP),Tooling / Capability Gap,Y,N
AI,External attack surface management (EASM),"Continuous internet-facing asset discovery, exposed credential monitoring, government domain dark web scan","AI security & threat intelligence: Generative AI risk, predictive detection, nation-state intel",Out of Scope,"Continuously scanning the external internet for exposed assets, open ports, and monitoring the dark web for leaked government credentials are completely out of scope. A SIEM is a passive log receiver; it does not proactively scan the external internet or perform vulnerability discovery. This capability physically requires a dedicated External Attack Surface Management (EASM) platform (like Microsoft Defender EASM or Cortex Xpanse).",,No. Requires EASM scanner.,EASM Platform,Tooling / Capability Gap,Y,N
Emerging,AI-assisted alert triage & investigation,"Natural language investigation, automated root cause analysis, AI-generated incident summaries, false positive suppression","AI security & threat intelligence: Generative AI risk, predictive detection, nation-state intel",Out of Scope,"Using AI to automatically perform root cause analysis, suppress false positives, and generate natural language incident summaries is entirely out of scope for our correlation rules. Sigma rules are static, logic-based queries; they do not possess an AI engine or automation capabilities to triage their own alerts. This requires a Security Orchestration, Automation, and Response (SOAR) tool or an AI assistant (like Microsoft Security Copilot).",,No. Requires AI-driven SOAR.,SOAR / Security AI Assistant,Tooling / Capability Gap,Y,N
Emerging,Deception technology & honeypots,"Fake credentials, decoy files, honey-tokens for tender docs and financial data — instant high-confidence attacker detection","AI security & threat intelligence: Generative AI risk, predictive detection, nation-state intel",Partial,"Monitoring decoy files or 'honey-token' accounts for unauthorized access is easily achievable with our SIEM by writing custom queries for specific fake usernames or file paths. However, automatically generating, deploying, and rotating these fake credentials, decoy files, and virtual honeypot servers across the enterprise is completely out of scope. That active deployment capability physically requires a dedicated Deception Technology platform (like Thinkst Canary).",,No. Requires deploying actual honeypots.,Deception Platform,Tooling / Capability Gap,Y,N
Core,Cloud security posture management (CSPM),"Misconfiguration detection across AWS/Azure/GCP, compliance mapping to CIS/NIST, auto-remediation workflows","Cloud, SaaS & OT/IoT visibility: Hybrid government infrastructure coverage",Out of Scope,"Proactively scanning AWS/Azure APIs to detect cloud misconfigurations, mapping assets to CIS/NIST compliance frameworks, and executing auto-remediation workflows are entirely out of scope. A SIEM analyzes logs of discrete events (e.g., a user changing a setting); it does not natively query cloud control planes to audit static configuration states. This capability physically requires a Cloud Security Posture Management (CSPM) platform (like Wiz or Prisma Cloud).",,No. Requires CSPM.,CSPM Platform,Tooling / Capability Gap,Y,N
Gov-critical,Cloud workload protection (CWPP),"Container runtime protection, Kubernetes admission control, serverless function monitoring, cloud-native EDR agent","Cloud, SaaS & OT/IoT visibility: Hybrid government infrastructure coverage",Out of Scope,"Acting as a Kubernetes admission controller or providing runtime memory protection for containers is completely out of scope. A SIEM is an analytics platform; it cannot act as a cloud-native EDR agent to physically block workloads from running. This active protection physically requires a Cloud Workload Protection Platform (CWPP) agent (like Aqua or Prisma Cloud). While we could theoretically alert on malicious Docker commands, this is currently a log gap because we lack Kubernetes audit logs and container telemetry.","T1609 (Container Administration Command), T1610 (Deploy Container)",Requires cloud-native agents deployed to workloads.,CWPP / CNAPP Platform,Tooling / Capability Gap,Y,N
Gov-critical,CASB — SaaS data & access control,"Shadow IT discovery, sanctioned/unsanctioned app policy, OAuth grant visibility, SaaS misconfiguration (SSPM)","Cloud, SaaS & OT/IoT visibility: Hybrid government infrastructure coverage",Out of Scope,"Enforcing sanctioned/unsanctioned SaaS application policies and actively blocking unauthorized apps are completely out of scope. A SIEM cannot act as a proxy to intercept or block web application access. This capability physically requires a Cloud Access Security Broker (CASB). Furthermore, auditing SaaS misconfigurations (SSPM) and OAuth grants remains a severe log gap because we lack the necessary cloud API telemetry to feed into the SIEM.",T1528 (Steal Application Access Token),No. Requires API integrations with SaaS apps.,CASB Platform,Missing Logs,N,Y
Emerging,IoT/OT & agentless device discovery,"Passive network discovery of cameras, printers, SCADA, BAS — risk scoring and network segment policy without agents","Cloud, SaaS & OT/IoT visibility: Hybrid government infrastructure coverage",Out of Scope,"Performing passive, agentless discovery of IoT/OT devices (like printers or SCADA systems) and dynamically enforcing network segmentation policies are completely out of scope. A SIEM analyzes structured logs; it does not passively sniff raw network traffic on the wire to fingerprint unmanaged devices. This capability physically requires a dedicated Network Detection and Response (NDR) or OT security appliance (like Claroty or Nozomi).",,No. Requires NDR or OT scanner.,IoT/OT Security Platform / NDR,Tooling / Capability Gap,Y,N
Emerging,CNAPP (cloud-native application protection),Unified CSPM + CWPP + CIEM + CDR — full cloud application threat lifecycle from code to runtime,"Cloud, SaaS & OT/IoT visibility: Hybrid government infrastructure coverage",Out of Scope,"A Cloud-Native Application Protection Platform (CNAPP) is an entire suite of proactive cloud security tools. Replacing a CNAPP is completely out of scope for a SIEM. A SIEM analyzes discrete event logs; it cannot perform infrastructure-as-code (IaC) vulnerability scanning, runtime container protection, or active cloud permissions enforcement. This physically requires a dedicated CNAPP platform (like Wiz or Prisma Cloud).",,No. Requires CNAPP vendor.,CNAPP Platform,Tooling / Capability Gap,Y,N
